flrID,catalog,instruments,beginTime,peakTime,endTime,classType,sourceLocation,activeRegionNum,note,submissionTime,versionId,link,linkedEvents,sentNotifications,data_evento,duracao_minutos,instrumentos
2026-04-02T17:23:00-FLR-001,M2M_CATALOG,[{'displayName': 'GOES-P: EXIS 1.0-8.0'}],2026-04-02 17:23:00+00:00,2026-04-02 18:15:00+00:00,2026-04-02 18:34:00+00:00,M3.5,N12W18,14404.0,,2026-04-02T18:38Z,1,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/45514/-1,[{'activityID': '2026-04-02T18:48:00-CME-001'}],,2026-04-02,71.0,GOES-P: EXIS 1.0-8.0
2026-04-03T07:45:00-FLR-001,M2M_CATALOG,[{'displayName': 'GOES-P: EXIS 1.0-8.0'}],2026-04-03 07:45:00+00:00,2026-04-03 07:56:00+00:00,2026-04-03 07:58:00+00:00,M1.3,N02E07,14409.0,,2026-04-03T08:13Z,1,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/45527/-1,,,2026-04-03,13.0,GOES-P: EXIS 1.0-8.0
2026-04-03T12:46:00-FLR-001,M2M_CATALOG,[{'displayName': 'GOES-P: EXIS 1.0-8.0'}],2026-04-03 12:46:00+00:00,2026-04-03 12:50:00+00:00,2026-04-03 12:52:00+00:00,M1.3,N02E04,14409.0,,2026-04-03T14:06Z,3,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/45532/-1,,,2026-04-03,6.0,GOES-P: EXIS 1.0-8.0
2026-04-04T01:07:00-FLR-001,M2M_CATALOG,[{'displayName': 'GOES-P: EXIS 1.0-8.0'}],2026-04-04 01:07:00+00:00,2026-04-04 01:17:00+00:00,2026-04-04 01:23:00+00:00,M7.5,N02W02,14409.0,,2026-04-04T01:32Z,3,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/45538/-1,,"[{'messageID': '20260404-AL-001', 'messageIssueTime': '2026-04-04T01:19Z', 'messageURL': 'https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/Alert/45539/1'}, {'messageID': '20260404-AL-002', 'messageIssueTime': '2026-04-04T01:26Z', 'messageURL': 'https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/Alert/45540/1'}]",2026-04-04,16.0,GOES-P: EXIS 1.0-8.0
2026-04-04T07:38:00-FLR-001,M2M_CATALOG,[{'displayName': 'GOES-P: EXIS 1.0-8.0'}],2026-04-04 07:38:00+00:00,2026-04-04 07:58:00+00:00,2026-04-04 08:14:00+00:00,M1.7,N03W07,14409.0,,2026-04-04T08:18Z,1,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/45541/-1,,,2026-04-04,36.0,GOES-P: EXIS 1.0-8.0
2026-04-04T11:58:00-FLR-001,M2M_CATALOG,[{'displayName': 'GOES-P: EXIS 1.0-8.0'}],2026-04-04 11:58:00+00:00,2026-04-04 12:11:00+00:00,2026-04-04 12:22:00+00:00,M1.2,N02W09,14409.0,,2026-04-04T13:31Z,2,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/45545/-1,,,2026-04-04,24.0,GOES-P: EXIS 1.0-8.0
2026-04-04T22:54:00-FLR-001,M2M_CATALOG,[{'displayName': 'GOES-P: EXIS 1.0-8.0'}],2026-04-04 22:54:00+00:00,2026-04-04 23:04:00+00:00,2026-04-04 23:14:00+00:00,M1.0,N03W16,14409.0,,2026-04-04T23:22Z,2,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/45550/-1,,,2026-04-04,20.0,GOES-P: EXIS 1.0-8.0
2026-04-07T23:10:00-FLR-001,M2M_CATALOG,[{'displayName': 'GOES-P: EXIS 1.0-8.0'}],2026-04-07 23:10:00+00:00,2026-04-07 23:20:00+00:00,2026-04-07 23:26:00+00:00,C2.4,N18E75,14414.0,,2026-04-08T15:46Z,1,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/45575/-1,[{'activityID': '2026-04-08T00:15:00-CME-001'}],,2026-04-07,16.0,GOES-P: EXIS 1.0-8.0
2026-04-09T08:23:00-FLR-001,M2M_CATALOG,[{'displayName': 'GOES-S: EXIS 1.0-8.0'}],2026-04-09 08:23:00+00:00,2026-04-09 08:45:00+00:00,2026-04-09 09:05:00+00:00,M1.0,N01W76,14409.0,"GOES-P (GOES-18) eclipse period during this flare, GOES-S used for entry.",2026-04-09T09:11Z,3,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/45582/-1,,,2026-04-09,42.0,GOES-S: EXIS 1.0-8.0
2026-04-23T04:24:00-FLR-001,M2M_CATALOG,[{'displayName': 'GOES-P: EXIS 1.0-8.0'}],2026-04-23 04:24:00+00:00,2026-04-23 04:35:00+00:00,2026-04-23 04:40:00+00:00,M1.6,N15W60,14419.0,,2026-04-27T12:15Z,4,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/45785/-1,[{'activityID': '2026-04-23T05:00:00-CME-001'}],,2026-04-23,16.0,GOES-P: EXIS 1.0-8.0
